code,trend,regime,days,period_start,period_end,strategy_ann_return,strategy_ann_vol,strategy_sharpe_rf,strategy_max_drawdown,benchmark_ann_return,active_ann_return,information_ratio,capm_alpha_ann,capm_beta,avg_position
sz.159845,ma5_gt_ma20,bear_close_le_ma200,2,2025-04-07,2025-04-08,0.0,0.0,,0.0,-0.999999625262942,0.999999625262942,1.0095379548957455,,,0.0
sz.159845,ret20_gt_0,bear_close_le_ma200,2,2025-04-07,2025-04-08,0.0,0.0,,0.0,-0.999999625262942,0.999999625262942,1.0095379548957455,,,0.0
sh.588080,ma5_gt_ma20,bull_close_gt_ma200,439,2023-02-02,2026-05-28,0.44885207492412493,0.1694465975006128,2.5308981192294167,-0.09182564842485741,0.9404386094355892,-0.4915865345114643,-1.8466400005963124,0.10481876460642066,0.3628149575427382,0.3436699773475421
sh.588080,close_gt_ma20,bull_close_gt_ma200,439,2023-02-02,2026-05-28,0.4435545957358247,0.16793956032825771,2.522065646164234,-0.07775807810041335,0.9404386094355892,-0.49688401369976454,-1.8417098162837886,0.10657780594236277,0.3548996593624907,0.35206876685871075
sh.588080,ret20_gt_0,bull_close_gt_ma200,439,2023-02-02,2026-05-28,0.4380811040039372,0.1665671628785186,2.50998514220269,-0.09813106461977039,0.9404386094355892,-0.502357505431652,-1.8696950628997275,0.10221988168570083,0.3553521737713591,0.3317940692456568
sh.588000,ret20_gt_0,bull_close_gt_ma200,448,2023-01-20,2026-05-28,0.4297218828487843,0.16744340458112106,2.4469275685940017,-0.08492222811404537,0.9462993139181013,-0.516577431069317,-1.887711816796584,0.09799020746846178,0.3510226531683124,0.3429422036066412
sh.588000,close_gt_ma20,bull_close_gt_ma200,448,2023-01-20,2026-05-28,0.41733300389346994,0.1678127977850641,2.3677157471766668,-0.08823723411089734,0.9462993139181013,-0.5289663100246313,-1.9208108820218117,0.09124025388314894,0.3483885190996724,0.35744171290729676
sh.588000,ma5_gt_ma20,bull_close_gt_ma200,448,2023-01-20,2026-05-28,0.41046989473132256,0.16552414557052142,2.3589905471825148,-0.08511425584098875,0.9462993139181013,-0.5358294191867787,-1.92527870520095,0.09149460184764154,0.3408111516166665,0.35240545787911887
sz.159949,ma5_gt_ma20,bull_close_gt_ma200,1068,2019-02-25,2026-05-28,0.2955497514309833,0.15245627833661943,1.8074017970094791,-0.1281428998830597,0.7526740228777318,-0.4571242714467485,-1.8813514202558492,0.036794431252561315,0.35502126548280544,0.39751090498458247
sz.159949,close_gt_ma20,bull_close_gt_ma200,1068,2019-02-25,2026-05-28,0.28164595960746563,0.14892305962738284,1.7569203873605894,-0.11572416287708065,0.7526740228777318,-0.47102806327026614,-1.8877121985341647,0.03592773945546827,0.33764924638604704,0.40050569899461835
sh.512100,ma5_gt_ma20,bull_close_gt_ma200,397,2024-09-27,2026-05-28,0.2540272063072535,0.1369941596855797,1.7083006081746688,-0.07644139407733008,0.5099397225079678,-0.2559125162007143,-1.4605586626669262,0.040567238191827455,0.41165332674169436,0.5133591516008891
sz.159949,ret20_gt_0,bull_close_gt_ma200,1068,2019-02-25,2026-05-28,0.2772079157285896,0.15165768775499136,1.6959767720059042,-0.13026013745253295,0.7526740228777318,-0.47546610714914217,-1.9371514666307272,0.025935529302094584,0.3491523746021853,0.4110799866604045
sz.159915,ret20_gt_0,bull_close_gt_ma200,1151,2017-09-06,2026-05-28,0.26804636048646646,0.15271100265121065,1.624286110235293,-0.11472881515665512,0.5972264229226711,-0.3291800624362047,-1.4764760387149007,0.04188945162498726,0.37439397805202235,0.4624496526848063
sz.159915,ma5_gt_ma20,bull_close_gt_ma200,1151,2017-09-06,2026-05-28,0.24431507965221222,0.15115104564122053,1.4840458344208707,-0.14728380130190333,0.5972264229226711,-0.3529113432704589,-1.5792998333290347,0.024420303952975703,0.37105200398296573,0.4485326970530712
sz.159845,ma5_gt_ma20,bull_close_gt_ma200,291,2025-03-13,2026-05-28,0.1944192638969604,0.1266802973184152,1.3768460256968904,-0.07691478281420072,0.42299852089672374,-0.22857925699976334,-1.749907986941551,-0.006117924795211151,0.48724910918372144,0.5704667431014864
sz.159915,close_gt_ma20,bull_close_gt_ma200,1151,2017-09-06,2026-05-28,0.2128351047684649,0.14795873351938668,1.3033032939768856,-0.11592383789683447,0.5972264229226711,-0.38439131815420624,-1.6765330484251644,0.006847415768383201,0.35397015712301866,0.4497898158153196
sh.512100,ret20_gt_0,bull_close_gt_ma200,397,2024-09-27,2026-05-28,0.1891417429417963,0.14210757707187355,1.19023732883891,-0.1307307331842904,0.5099397225079678,-0.3207979795661715,-1.8799524346142231,-0.021377618162117303,0.43393124130167376,0.5107845808588075
sh.510500,ret20_gt_0,bull_close_gt_ma200,1161,2017-07-31,2026-05-28,0.17512543614641407,0.1318711805862618,1.1763406944320243,-0.09844478083114006,0.3520840870754818,-0.1769586509290677,-1.319466895003686,-0.0001887508582876612,0.49350321052112744,0.575700285405397
sh.510500,ma5_gt_ma20,bull_close_gt_ma200,1161,2017-07-31,2026-05-28,0.16811104362812745,0.12769626746707372,1.1598697954606831,-0.18862012730359956,0.3520840870754818,-0.18397304344735432,-1.3125511911596934,0.002388810338111188,0.4636244839000975,0.5517980344522563
sh.510050,ret20_gt_0,bull_close_gt_ma200,1222,2017-01-09,2026-05-14,0.17083003557429532,0.13010055866580053,1.1593342651336667,-0.09410066060514566,0.30902206378172936,-0.13819202820743404,-1.335533800567784,-0.012133533647505471,0.5965549561065464,0.6073310352800588
sh.510300,ret20_gt_0,bull_close_gt_ma200,1291,2017-01-09,2026-05-28,0.16918177409103352,0.12964789705083754,1.1506686763498861,-0.08298079073801734,0.31874912086340124,-0.14956734677236772,-1.3673020878048128,-0.011520806760314752,0.5705663837018496,0.6288712672627792
sh.512100,close_gt_ma20,bull_close_gt_ma200,397,2024-09-27,2026-05-28,0.1724684740954987,0.13513262656790256,1.128287653158914,-0.10211613650252094,0.5099397225079678,-0.3374712484124691,-1.896922926243709,-0.022389855279365538,0.4008728026307805,0.50372133472509
sz.159845,ret20_gt_0,bull_close_gt_ma200,291,2025-03-13,2026-05-28,0.1678402024683101,0.13191997105896774,1.120680980154446,-0.11816818934568607,0.42299852089672374,-0.25515831842841363,-2.013569326314775,-0.03842617769184796,0.5169036453442674,0.5781964530346312
sz.159845,close_gt_ma20,bull_close_gt_ma200,291,2025-03-13,2026-05-28,0.1466633902345127,0.12223243156188247,1.036250270210709,-0.08306632663975111,0.42299852089672374,-0.27633513066221105,-1.9868725949608947,-0.03246398188727488,0.44467197459688845,0.5582736554083496
sh.510050,close_gt_ma20,bull_close_gt_ma200,1222,2017-01-09,2026-05-14,0.15073791459362784,0.1284009082318952,1.0182008553826734,-0.11305974005125974,0.30902206378172936,-0.15828414918810152,-1.47908102025179,-0.02479395892403264,0.5781597303193288,0.5802558087119905
sh.510500,close_gt_ma20,bull_close_gt_ma200,1161,2017-07-31,2026-05-28,0.13986776348921914,0.12367584782117443,0.9692091511880195,-0.16774419336337498,0.3520840870754818,-0.21221632358626263,-1.4469617202454563,-0.013060105106885529,0.43231412962583915,0.547911142805124
sh.510050,ma5_gt_ma20,bull_close_gt_ma200,1222,2017-01-09,2026-05-14,0.14142683747430862,0.12720700721545108,0.9545609171407313,-0.1072887355589891,0.30902206378172936,-0.16759522630742074,-1.5491496185648932,-0.030775538739455665,0.5695128085277458,0.5847334633828236
sh.510300,close_gt_ma20,bull_close_gt_ma200,1291,2017-01-09,2026-05-28,0.11998518112282186,0.1251229634620995,0.799095372713962,-0.10715245650739547,0.31874912086340124,-0.19876393974057938,-1.724132118402292,-0.045212839420817275,0.5344690387470341,0.6110335605965478
sh.510300,ma5_gt_ma20,bull_close_gt_ma200,1291,2017-01-09,2026-05-28,0.10419944649841151,0.12673713344433227,0.6643628762157152,-0.11718818297828038,0.31874912086340124,-0.21454967436498973,-1.906014035455747,-0.06330435712436133,0.5494201817557205,0.6147757631676095
