model,code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
HAR-YZ,sh.510500,ret20_gt_0,all,2157,0.0223965591131687,0.1845718154305939,0.012984426184343,-0.4035284774540892,0.0338413801793573,-0.0114448210661886,0.1211489573078215,-0.0944690018017159,-0.0073010030358398,0.6944613237808299,0.7057857480414371,0.4899447006967015
HAR-YZ,sh.510500,close_gt_ma20,all,2157,0.0202289383270735,0.1782544154459512,0.0012843346769321,-0.4092560251797185,0.0338413801793573,-0.0136124418522838,0.1278517454340876,-0.106470520258181,-0.0091176697038594,0.6547348340792852,0.6726014926446892,0.5093558738784874
HAR-YZ,sh.510300,ma5_gt_ma20,all,2223,0.0079052969616126,0.1412256198479898,-0.0856409980809828,-0.4372517677073136,0.0409336038502932,-0.0330283068886805,0.1247358551154928,-0.2647859900274836,-0.0234945890288683,0.5604849843844544,0.5710269543716819,0.6515931740071079
HAR-YZ,sh.510300,ret20_gt_0,all,2223,0.0060300052977115,0.1511178008312246,-0.0924444018206085,-0.3730706532903922,0.0409336038502932,-0.0349035985525816,0.1079627348254995,-0.323293019660871,-0.0274798613360158,0.6541987851580181,0.6794286257464179,0.6992181881166777
HAR-YZ,sh.510300,close_gt_ma20,all,2223,0.005295239109504,0.1427703155410332,-0.1029959262523988,-0.3727353174166402,0.0409336038502932,-0.0356383647407891,0.1232976763346055,-0.289043279648464,-0.0262796765728948,0.5714548693893038,0.5808228056610528,0.6192330594708675
EGARCH,sh.588000,close_gt_ma20,all,836,0.2708445609004966,0.2734656293082846,0.917280030894534,-0.2867251963834983,0.2057340625863819,0.0651104983141146,0.177216052426252,0.3674074522183039,0.1018979244412515,0.6995622610342059,0.7112259108911138,0.4612877009545388
EGARCH,sh.588080,ret20_gt_0,all,836,0.2508053582513891,0.2582763498265515,0.8936372161306647,-0.2250402636581531,0.20069134784839,0.0501140104029991,0.1988727733746056,0.251990302908896,0.1011235098293798,0.6265623265351337,0.6313865346049112,0.3500122136474655
EGARCH,sh.588080,ma5_gt_ma20,all,836,0.2438643673870999,0.267840110444579,0.8358134523448142,-0.2464962142056364,0.20069134784839,0.0431730195387098,0.1862277362312706,0.2318291593530118,0.0881364524333949,0.6727073131142616,0.676763777598086,0.4262734295460158
EGARCH,sz.159915,ret20_gt_0,all,2263,0.1384358477070373,0.2082390734578403,0.568749398181584,-0.2747933974878368,0.0980826544200679,0.0403531932869694,0.1891927934556047,0.2132913867907898,0.0681606636764143,0.5448339030813956,0.5778832550228983,0.4249062297140254
EGARCH,sh.588000,ma5_gt_ma20,all,836,0.2397248459503373,0.2657431523919117,0.8268316378903052,-0.2909598605606714,0.2057340625863819,0.0339907833639554,0.1925556175441018,0.1765244961299059,0.0850312532827937,0.6543105045975681,0.6588763879544222,0.4280244608805654
EGARCH,sh.588080,close_gt_ma20,all,836,0.2323049525943725,0.2689231220401921,0.7894633640414243,-0.2579845852594327,0.20069134784839,0.0316136047459825,0.1855787058396742,0.1703514667964882,0.0782529131415722,0.6765412139638391,0.6789976425294981,0.4409885428509998
EGARCH,sh.510500,ma5_gt_ma20,all,2198,0.0486762572587782,0.1776237079727333,0.1614438612168835,-0.366398619926618,0.037643445850342,0.0110328114084361,0.1251586056895342,0.0881506417209848,0.0157762102770397,0.6609227420334715,0.6833656354144227,0.5942656865515036
EGARCH,sh.588000,ret20_gt_0,all,836,0.2136784050258642,0.2587202901046712,0.7486015300443085,-0.2926782294242589,0.2057340625863819,0.0079443424394822,0.2011497488149632,0.0394946674618532,0.0690894939068451,0.6217993888327463,0.6277690873546558,0.3660231969651788
EGARCH,sz.159949,ret20_gt_0,all,1885,0.1832121053611017,0.2483030828423406,0.6573100240754275,-0.3543780377249318,0.1868914706431221,-0.0036793652820203,0.2011809337680698,-0.0182888368848219,0.0565017315663832,0.6011354444590693,0.6137427956769259,0.5384912385097332
EGARCH,sz.159845,close_gt_ma20,all,281,0.3478483222249009,0.1870410368832035,1.752814931354468,-0.1123775367753879,0.3505243257228763,-0.0026760034979753,0.1169699535836855,-0.0228776999219789,0.0774663877815557,0.7156262811897062,0.7230947157857552,0.8447952369613805
