model,code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
EGARCH,sh.510300,close_gt_ma20,bear_close_le_ma200,974,-0.2543072467050867,0.1521432500931187,-1.8029537724295888,-0.6627620437621666,-0.2362439537549193,-0.0180632929501673,0.1076050442240341,-0.1678666003106652,-0.1238258720265933,0.6563384270035642,0.6885571207961547,0.610407857119406
EGARCH,sh.510300,ma5_gt_ma20,bear_close_le_ma200,974,-0.2829291939289217,0.1543624069548358,-1.9624544596376647,-0.710045831584393,-0.2362439537549193,-0.0466852401740023,0.1029829987541571,-0.4533295858421268,-0.1565012761551653,0.6786840684174786,0.715223728868148,0.6995878874154684
EGARCH,sh.588080,ret20_gt_0,bull_close_gt_ma200,393,0.890772267654935,0.3640668462904528,2.391792267072383,-0.2250402636581533,0.8938086602671989,-0.0030363926122638,0.1736809599782934,-0.0174825876863148,0.1135487728541583,0.8130562174004681,0.8155300256908077,0.6224865098919979
EGARCH,sz.159845,close_gt_ma20,bull_close_gt_ma200,82,0.1888237181258214,0.2475038566686327,0.6821054039244683,-0.1123775367753876,0.1904626540250964,-0.0016389358992749,0.0523936542639384,-0.0312811908674796,0.00592716914044,0.9513925939680226,0.9576879153001124,0.9101222061351518
EGARCH,sh.588080,ma5_gt_ma20,bull_close_gt_ma200,393,0.8598509081186014,0.3689618290266476,2.276254186874016,-0.2464962142056368,0.8938086602671989,-0.0339577521485974,0.1644616580250564,-0.2064782305880912,0.0845070082330247,0.8335605993744802,0.8345887915759318,0.6875155654406531
EGARCH,sh.510050,ma5_gt_ma20,bull_close_gt_ma200,1013,0.2617810243852305,0.150966326397988,1.60155599035927,-0.119372083430891,0.2962914059761101,-0.0345103815908796,0.1093988829016574,-0.3154546068071117,0.0569649429649435,0.6481033113788301,0.6733948791110715,0.7578901077780359
EGARCH,sh.512100,close_gt_ma20,bull_close_gt_ma200,197,0.3411032380767744,0.2063448823058949,1.556148301273382,-0.1209842049470957,0.3827302213788675,-0.041626983302093,0.0868580826822882,-0.4792528457525049,0.0151816804145384,0.8495494506077012,0.8494534600663097,0.8638709023028842
EGARCH,sh.510300,ma5_gt_ma20,bull_close_gt_ma200,1091,0.2406669360814992,0.1520909846966476,1.450887680960377,-0.0993907642516421,0.3198909304035113,-0.0792239943220121,0.1181394281061482,-0.6705974084353057,0.0361251264842687,0.6182908687422585,0.6409016946474346,0.7467078712025147
EGARCH,sh.510300,close_gt_ma20,bull_close_gt_ma200,1091,0.2130199626363262,0.1376956389522226,1.4017870435482704,-0.1002190580503837,0.3198909304035113,-0.106870967767185,0.1341297061006237,-0.7967732941054142,0.0407904781553735,0.5124974214345147,0.5372243585408396,0.7379304567386221
EGARCH,sz.159845,ma5_gt_ma20,bull_close_gt_ma200,82,0.096001809363492,0.2257457926103321,0.3366698820149504,-0.1204222814330379,0.1904626540250964,-0.0944608446616044,0.1132970343683993,-0.8337450771610956,-0.0510473842099516,0.7941106920853549,0.8020310336849965,0.8332690270210011
EGARCH,sh.588080,close_gt_ma20,bull_close_gt_ma200,393,0.7548903452844409,0.3699596439243724,1.98640678072084,-0.2579845852594318,0.8938086602671989,-0.1389183149827579,0.1627128270482486,-0.8537637597653258,0.0238436316993714,0.8375647251934065,0.8380870296739683,0.7072531015939741
EGARCH,sh.512100,ma5_gt_ma20,bull_close_gt_ma200,197,0.3074731225818565,0.2033770674907412,1.413498218499703,-0.135377818773606,0.3827302213788675,-0.0752570987970109,0.0866410156554336,-0.8686082247270055,-0.0069424607592689,0.8377928212492979,0.8503916257550839,0.8248664669759979
EGARCH,sh.588000,ma5_gt_ma20,bull_close_gt_ma200,394,0.8000886701483432,0.367199881277616,2.124425169839771,-0.2909598605606713,0.9908584558193544,-0.1907697856710113,0.1849245094826603,-1.0316089857677793,0.0345036173926793,0.7968703771390551,0.7982489703836078,0.666300419749441
EGARCH,sh.510050,close_gt_ma20,bull_close_gt_ma200,1013,0.1566041234168149,0.13542671853362,1.0086940368632105,-0.119496855345912,0.2962914059761101,-0.1396872825592952,0.1321680593984628,-1.0568913790143752,0.002819881532879,0.5119328744139172,0.5221061758980992,0.689936094882057
EGARCH,sz.159949,ma5_gt_ma20,bull_close_gt_ma200,1010,0.5425533237026416,0.3088706272390684,1.69181941440544,-0.2629180245581819,0.7217767756473643,-0.1792234519447226,0.1532327696557849,-1.1696156921742134,-0.002808334878046,0.7931293346801992,0.8089094944406894,0.7460269932335049
EGARCH,sh.588000,ret20_gt_0,bull_close_gt_ma200,394,0.7545202522333179,0.3634057843404114,2.021212330360912,-0.2926782294242583,0.9908584558193544,-0.2363382035860366,0.1915510823782748,-1.233812937268171,0.0190717160056522,0.781334236967117,0.783534464967039,0.6235418062304134
EGARCH,sh.588000,close_gt_ma20,bull_close_gt_ma200,394,0.7685515570253667,0.3739446025381175,2.001771256877719,-0.286725196383498,0.9908584558193544,-0.2223068987939878,0.1586812576953296,-1.4009650668437497,-0.0119011166390411,0.8382160952488853,0.8516585670209404,0.7013866774430519
